"ALTA FLORESTA D'OESTE","EEEF EURIDICE LOPES PEDROSO","4.8"
"ALTA FLORESTA D'OESTE","EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA","4.4"
"ALTA FLORESTA D'OESTE","EEEF TANCREDO DE ALMEIDA NEVES","3.5"
"ALTA FLORESTA D'OESTE","EEEFM PE EZEQUIEL RAMIN","4.3"
"ARIQUEMES","EEEFM CORA CORALINA","5.0"
"ARIQUEMES","EEEF ALBINA MARCIO SORDI","4.9"
"ARIQUEMES","EMEFM ALDEMIR LIMA CANTANHEDE","4.9"
"ARIQUEMES","EEEFM ANISIO TEIXEIRA","5.2"
"ARIQUEMES","EMEF ARCO-IRIS","3.8"
"ARIQUEMES","EMEF DR DIRCEU DE ALMEIDA","4.4"
"ARIQUEMES","EEEFM FRANCISCO ALVES MENDES FILHO","4.1"
"ARIQUEMES","EMEIEF JORGE TEIXEIRA","4.9"
"ARIQUEMES","EMEF HENRIQUE DIAS","3.8"
"ARIQUEMES","EMEF IRENO ANTONIO BERTICELLI","4.2"
"ARIQUEMES","EEEFM JARDIM DAS PEDRAS","4.8"
"ARIQUEMES","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL JOSE DE ANCHIETA","3.9"
"ARIQUEMES","EMEF MAFALDA RODRIGUES","4.1"
"ARIQUEMES","EMEFM MAGDALENA TAGLIAFERRO","3.7"
"ARIQUEMES","EMEFM MARIO QUINTANA","5.0"
"ARIQUEMES","ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MEDIO MIGRANTES","5.3"
"ARIQUEMES","ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PADRE ANGELO SPADARI","4.1"
"ARIQUEMES","EMEIEF PROF PEDRO LOUBACK","3.5"
"ARIQUEMES","EMEF PROF VENANCIO KOTTWITZ","4.2"
"ARIQUEMES","EMEIEF ROBERTO TURBAY","3.8"
"ARIQUEMES","EMEIEF VINICIUS DE MORAES","4.9"
"ARIQUEMES","E M E I E F PROFª EVA DOS SANTOS DE OLIVEIRA","6.0"
"ARIQUEMES","EMEIEF PROF LEVI ALVES DE FREITAS","4.6"
"CABIXI","EEEFM JOSE DE ANCHIETA","5.2"
"CABIXI","EMEIEF CHICO SOLDADO","5.0"
"CACOAL","EMEIEF CLAUDIO MANOEL DA COSTA","5.7"
"CACOAL","EEEF FREI CANECA","5.1"
"CACOAL","EEEFM GRACILIANO RAMOS","4.8"
"CACOAL","EEEFM HONORINA LUCAS DE BRITO","4.4"
"CACOAL","EEEFM PAULO FREIRE","5.0"
"CACOAL","EEEFM MARIA AURORA DO NASCIMENTO","5.4"
"CACOAL","EMEIEF MONTEIRO LOBATO","4.7"
"CACOAL","EMEIEF PEDRO ALVARES CABRAL","4.9"
"CACOAL","EMEIEF PRESIDENTE MEDICI","5.3"
"CACOAL","EMEIEF PROF AGUSTINHO GOES DE OLIVEIRA","5.1"
"CACOAL","EMEIEF SANTOS DUMONT","5.1"
"CACOAL","EEEFM BERNARDO GUIMARAES","5.2"
"CACOAL","EEEFM CARLOS GOMES","5.4"
"CACOAL","EEEFM CLODOALDO NUNES DE ALMEIDA","5.5"
"CACOAL","E M E I E F JOSE DE ALMEIDA E SILVA","5.5"
"CACOAL","EMEIF LUIZ LENZI","5.2"
"CACOAL","EEEFM CELSO FERREIRA DA CUNHA","4.1"
"CACOAL","EMEF MARIA SOCORRO VIANA DE ALMEIDA","4.9"
"CACOAL","EMEIEF RODOLFO LUCHTENBERG","4.9"
"CACOAL","EMEIEF ANGELA MARIA DA MATA PERDONCINI","5.2"
"CEREJEIRAS","EEEF CEL JORGE TEIXEIRA DE OLIVEIRA","5.2"
"CEREJEIRAS","E E E F FLORIANO PEIXOTO","6.3"
"CEREJEIRAS","EEEF GOV JERONIMO GARCIA SANTANA","5.0"
"CEREJEIRAS","EMEIEF REGINA SPERFELD SEBOLD","4.6"
"CEREJEIRAS","EMEIEF MUNDO DA CRIANCA","5.5"
"COLORADO DO OESTE","EEEFM 16 DE JUNHO","5.3"
"COLORADO DO OESTE","EEEFM MANUEL BANDEIRA","5.7"
"COLORADO DO OESTE","EEEFM PAULO DE ASSIS RIBEIRO","5.1"
"CORUMBIARA","EEEFM MARECHAL RONDON","4.6"
"CORUMBIARA","EEEF SAO ROQUE","4.5"
"CORUMBIARA","EMEF VITAL BRASIL","3.9"
"CORUMBIARA","EMEIF MUNDO MAGICO","4.6"
"COSTA MARQUES","EEEF GOMES CARNEIRO","4.4"
"COSTA MARQUES","EEEF RAIMUNDO DE OLIVEIRA MESQUITA","4.2"
"COSTA MARQUES","EEEFM ANGELINA DOS ANJOS","5.5"
"COSTA MARQUES","EPMEIF MARIA LUCINETE FIRMINO MIRANDA","3.0"
"COSTA MARQUES","EPMEIF ILTON JOSE MARTINS","3.4"
"COSTA MARQUES","EMEF AMERICO CASARA","3.7"
"ESPIGAO D'OESTE","EMEIEF AURELIO BUARQUE DE HOLANDA","4.8"
"ESPIGAO D'OESTE","EMEIEF BRAS CUBAS","5.1"
"ESPIGAO D'OESTE","EEEF FERNANDA SOUZA DE PAULA","5.7"
"ESPIGAO D'OESTE","EEEFM JEAN PIAGET","5.3"
"ESPIGAO D'OESTE","EEEF JERRIS ADRIANI TURATTI","5.5"
"ESPIGAO D'OESTE","EMEF TANCREDO DE ALMEIDA NEVES","4.8"
"ESPIGAO D'OESTE","EEEF VINICIUS DE MORAES","4.6"
"ESPIGAO D'OESTE","EMEF TEOBALDO FERREIRA","4.2"
"ESPIGAO D'OESTE","EMEIEF SIMONE MOURA ROSA","4.9"
"GUAJARA-MIRIM","EIEEF ABRAO KOOP","3.2"
"GUAJARA-MIRIM","EEEF ALMIRANTE TAMANDARE","4.2"
"GUAJARA-MIRIM","EMEIEF CANDIDA MARIA MOURA DE PAULA","4.3"
"GUAJARA-MIRIM","EEEF CAP GODOY","4.4"
"GUAJARA-MIRIM","EMEIEF JESUS PEREZ","4.9"
"GUAJARA-MIRIM","EEEF DURVALINA ESTILBEM DE OLIVEIRA","3.5"
"GUAJARA-MIRIM","EMEIEF PROFESSORA FLORIZA BOUEZ","5.3"
"GUAJARA-MIRIM","EIEEF FRANCISCO JOSE DE LACERDA","3.2"
"GUAJARA-MIRIM","EMEIEF IRMA HILDA","4.5"
"GUAJARA-MIRIM","EMEIEF JOSE CARLOS NERI","4.2"
"GUAJARA-MIRIM","EEEF PAUL HARRIS","4.8"
"GUAJARA-MIRIM","EEEF PRESIDENTE EURICO GASPAR DUTRA","2.8"
"GUAJARA-MIRIM","EMEIEF SALOMAO SILVA","4.0"
"GUAJARA-MIRIM","EMEIEF SAO JUDAS TADEU","4.4"
"GUAJARA-MIRIM","EMEIEF SAUL BENNESBY","5.5"
"GUAJARA-MIRIM","IEE PAULO SALDANHA","4.9"
"GUAJARA-MIRIM","EMEIEF PROFª MARIA LIBERTY DE FREITAS","4.2"
"JARU","EMEIEF ABRAO ROCHA","4.0"
"JARU","EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS","4.5"
"JARU","EMEF JEAN CARLOS MUNIZ","4.5"
