Ano;Região;UF;Código do Município;Município;Código da Escola;Nome da Escola;Localização;Rede;ID_LATITUDE;ID_LONGITUDE;Educação Infantil Total;Educação Infantil Creche;Educação Infantil Pré-Escola;Ensino Fundamental Total;Ensino Fundamental Anos Iniciais;Ensino Fundamental Anos Finais;Ensino Fundamental 1º Ano;Ensino Fundamental 2° ano;Ensino Fundamental 3° ano;Ensino Fundamental 4° ano;Ensino Fundamental 5° ano;Ensino Fundamental 6° ano; Ensino Fundamental 7° ano; Ensino Fundamental 8° ano;Ensino Fundamental 9° ano;Turmas Unificadas 1;Ensino Médio Total Médio;Ensino Médio 1ª série;Ensino Médio 2ª série;Ensino Médio 3ª série;Ensino Médio 4ª série;
2012;Norte;AM;1301852;IRANDUBA;13076540;ESC URSULINA MACEDO;Rural;Municipal;-60,17770473;-3,201231442;--;--;--;8;--;--;--;--;--;--;--;--;--;--;--;8;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13079697;ESC SANTA HELENA;Rural;Municipal;-60,194411;-3,273661;--;--;--;20;--;--;--;--;--;--;--;--;--;--;--;20;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13079700;ESCOLA MUNICIPAL NOEMI SANTOS PEREIRA;Urbana;Municipal;-60,16497266;-3,216018304;20,1;14;22,2;21,4;21,4;--;21,6;26;22,5;19,4;17,3;--;--;--;--;--;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13081268;ESCOLA ESTADUAL CECILIA CARNEIRO DE OLIVEIRA;Urbana;Estadual;-60,188923;-3,280501;--;--;--;29,1;27,6;31,2;23;28,7;27,3;26,5;34,5;32,5;27;37;30,5;--;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13082469;ESC ANA BARBOSA DE CASTRO;Urbana;Municipal;-60,0835088;-3,1659989;--;--;--;31;27,3;34,7;19;28;26;32;30;41;37;26,5;34;--;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13089536;ESC MARIA IOLANDA MAURICIO VIANA;Rural;Municipal;-60,18627316;-3,273629155;16;--;16;20,5;--;--;--;--;--;--;--;--;--;--;--;20,5;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13094475;CENTRO DE EDUCACAO TECNOLOGICA DO AMAZONAS - CETAM;Urbana;Estadual;-60,156341;-3,166934;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13095773;ESC MUN PREFEITO NONATO LOPES;Urbana;Municipal;-60,086324;-3,166917;--;--;--;27,5;27,5;--;28;29;26,2;--;--;--;--;--;--;--;--;--;--;--;--;--
2012;Norte;AM;1301852;IRANDUBA;13096435;ESCOLA ESTADUAL THOMAS EUGENE LOVEJOY;Rural;Estadual;-60,1750524;-3,201032191;--;--;--;7,8;--;7,8;--;--;--;--;--;8;4;8;11;--;11,7;7;20;8;--;--
2012;Norte;AM;1301852;IRANDUBA;13096990;ESC MUN PROFESSORA SUELI DIAS DA SILVA;Rural;Municipal;-60,1777212;-3,200839373;8;--;8;22;--;--;--;--;--;--;--;--;--;--;--;22;--;--;--;--;--;--
